Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Unemployment_rate;Inflation_rate;GDP;Target;CU1;CU2;CU3;CU4;CU5
1;17;5;171;1;1;122.0;1;19;12;5;9;127.3;1;0;0;1;1;0;20;0;10.8;1.4;1.74;0;-21.11640438311602;-0.9515932525558548;2.556893265296547;-0.6802282783439534;0.5261050213429588
1;15;1;9254;1;1;160.0;1;1;3;3;3;142.5;1;0;0;0;1;0;19;0;13.9;-0.3;0.79;1;2.5148285249673927;-5.255274952229174;1.8157741714212148;0.666775941218597;0.0414713741912436
1;1;5;9070;1;1;122.0;1;37;37;9;9;124.8;1;0;0;0;1;0;19;0;10.8;1.4;1.74;0;-18.82623156120866;1.8295529606676826;5.332664492597659;-0.20569759106623092;-0.7829594878770001
1;17;2;9773;1;1;122.0;1;38;37;5;3;119.6;1;0;0;1;0;0;20;0;9.4;-0.8;-3.12;1;3.3132013140736136;-2.0635518136903825;-1.1505297354310233;0.04720858620380113;-1.4587124862033558
2;39;1;8014;0;1;100.0;1;37;38;9;9;141.5;0;0;0;1;0;0;45;0;13.9;-0.3;0.79;1;2.076791209597227;-2.879578228346251;0.5609098773376597;0.22085025990870993;2.2359503912635588
2;39;1;9991;0;19;133.1;1;37;37;9;7;114.8;0;0;1;1;1;0;50;0;16.2;0.3;-0.92;1;4.432341019650469;1.9627420622165757;-5.967761804855949;-2.9411120181439547;-4.254169491058701
1;1;1;9500;1;1;142.0;1;19;38;7;10;128.4;1;0;0;1;0;1;18;0;15.5;2.8;-4.06;1;5.674005831859692;-2.5618269315822446;1.5763606169673219;-0.49659032944219883;0.5527724609207904
1;18;4;9254;1;1;119.0;1;37;37;9;9;113.1;1;0;0;0;1;0;22;0;15.5;2.8;-4.06;0;-15.84861002483101;5.472432308419721;0.4842704076488717;-1.2329829610886152;-0.46842884477965946
1;1;3;9238;1;1;137.0;62;1;1;9;9;129.3;0;0;0;1;0;1;21;1;16.2;0.3;-0.92;1;3.7070439413203644;-4.131458869402177;0.5577207034238421;0.2756006655895022;0.8763716128214926
1;1;1;9238;1;1;138.0;1;1;19;4;7;123.0;1;0;1;0;0;0;18;0;8.9;1.4;3.51;0;3.387223152312864;0.11235223357761295;-4.572662549922915;-2.942040013093361;-2.50803481671532
1;1;1;9670;1;1;139.0;1;38;19;5;7;130.6;1;0;0;1;0;0;18;0;13.9;-0.3;0.79;1;2.033016878273557;-4.484205715557768;1.2749184331584162;-1.0182771407808577;-0.12521991138943847
1;1;1;9500;1;1;136.0;1;19;38;9;9;119.3;1;0;0;1;0;1;18;0;12.7;3.7;-1.7;1;4.6246035893265365;-2.1602554457523744;1.8793567401802436;0.1320533673709643;-0.4736773107360024
1;1;2;9853;1;1;133.0;1;19;37;4;9;130.2;1;0;0;1;0;0;19;0;12.7;3.7;-1.7;0;-16.808467284439438;4.727585545286922;2.922416386505491;0.7315999885598042;3.1182011634072344
1;53;1;9254;1;42;110.0;1;1;1;4;7;111.8;1;0;0;1;0;1;21;0;8.9;1.4;3.51;1;0.2286514358452142;-1.4375456733301433;0.7469670313605706;-0.6351843763724814;-0.7340053211569765
1;1;1;9085;1;1;149.0;1;38;37;5;5;137.1;1;0;0;1;0;1;18;0;10.8;1.4;1.74;1;0.003680478200883004;-4.524952390403527;0.46809094518409566;1.4037766039962936;1.443947077597073
1;1;1;9773;1;1;127.0;1;19;37;9;3;120.7;1;0;0;1;0;0;20;0;15.5;2.8;-4.06;0;-6.611948936505208;2.171907520191286;-1.05288721940149;8.197300366801244;-4.417826296969696
